be  was/were    been    быть
beat    beat	beaten	бить
become  became	become	становиться
begin	began	begun	начинать
bend	bent	bent	гнуть
bite	bit	bitten	кусать
blow	blew	blown	дуть
break	broke	broken	ломать
bring	brought	brought	приносить
build	built	built	строить
buy	bought	bought	покупать
can	could	been|able мочь
catch	caught	caught	ловить
choose	chose	chosen	выбирать
come	came	come	приходить
cost	cost	cost	стоить
cut	cut	cut	резать
dig	dug	dug	копать,рыть
do	did	done	делать
draw	drew	drawn	рисовать
dream	dreamed/dreamt	dreamed/dreamt	грезить;мечтать
drink	drank	drunk	пить
drive	drove	driven	водить
eat	ate	eaten	кушать;есть
fall	fell	fallen	падать
feed	fed	fed	кормить
feel	felt	felt	чувствовать
fight	fought	fought	сражаться;бороться
find	found	found	находить
fit	fit	fit	подходить|по|размеру
fly	flew	flown	летать
forget	forgot	forgotten	забывать
forgive	forgave	forgiven	прощать
freeze	froze	frozen	замерзать
get	got	got	получать
give	gave	given	давать
go	went	gone	идти
grow	grew	grown	расти
hang	hanged/hung	hanged/hung	вешать
have	had	had	иметь
hear	heard	heard	слушать
hide	hid	hidden	прятаться
hit	hit	hit	ударять;попадать
hold	held	held	держать
hurt	hurt	hurt	причинить|боль
keep	kept	kept	хранить;содержать
kneel knelt knelt стоять|на|коленях
know	knew	known	знать
lay	laid	laid	класть;положить
lead	led	led	вести
learn	learned/learnt	learned/learnt	учить
leave	left	left	оставить
lend	lent	lent	одалживать
let	let	let	позволять
lie	lay	lain	лежать
light	lighted/lit	lighted/lit	освещать
lose	lost	lost	терять
make	made	made	делать;производить
may	might	might	мочь;иметь|возможность
mean	meant	meant	подразумевать
meet	met	met	встретить
must had|to had|to должен
pay	paid	paid	платить
put	put	put	класть
read	read	read	читать
ride	rode	ridden	ездить|верхом
ring	rang	rung	звонить
rise	rose	risen	подняться
run	ran	run	бежать;течь
say	said	said	говорить;сказать
see	saw	seen	видеть
sell	sold	sold	продавать
send	sent	sent	посылать
set	set	set	ставить;устанавливать
shake	shook	shaken	трясти
shine	shone	shone	светить;сиять
shoot	shot	shot	стрелять;давать|побеги
show	showed	shown	показывать
shut	shut	shut	закрывать
sing	sang	sung	петь
sink	sank	sunk	погружаться;тонуть
sit	sat	sat	сидеть
sleep	slept	slept	спать
slide	slid	slid	скользить
speak	spoke	spoken	говорить
spend	spent	spent	тратить
spoil	spoiled/spoilt	spoiled/spoilt	портить
spread	spread	spread	распространиться
stand	stood	stood	стоять
steal	stole	stolen	красть
stick	stuck	stuck	втыкать,приклеивать
swim	swam	swum	плавать
take	took	taken	взять;брать
teach	taught	taught	учить
tear	tore	torn	рвать,отрывать
tell	told	told	рассказывать;сказать
think	thought	thought	думать
throw	threw	thrown	бросить
understand	understood	understood	понимать
wake	woke	woken	просыпаться;будить
wear	wore	worn	носить
win	won	won	выигрывать
write	wrote	written	писать
